s0101,s0103,s0303,s0306,s0309,s0407,s0501,s0504,s0601,s0804,s0805,s1303,s1402,s1503,s1505,s1508,s1606,s0104,s0508,s0605,s0606,s0705,s0709,s0809,s0904,s1101,s1108,s1109,s1301,s1404,s1405,s1701,s1706,s1803
0.991006358,1.009532699,0.987312691,1.01051175,1.003597674,0.991886374,0.993482698,1.006119946,1.016486392,0.966741602,0.994402831,0.997218226,1.002126231,0.9911371,1.004076033,1.008725771,0.992358325,0.996660641,0.956137977,1.01660836,0.99486092,1.005522841,0.992221575,0.985046472,0.996888802,1.012446821,0.994893748,0.995364624,1.000996918,1.00514536,1.012338125,0.99471617,1.041875374,0.985775694
0.991006358,1.010820368,0.986220531,1.011794126,1.003597674,0.991886374,0.993482698,1.006119946,1.017961699,0.965116826,0.994402831,0.997218226,1.002126231,0.9911371,1.004076033,1.010395846,0.992358325,0.996660641,0.950357215,1.01905213,0.993665174,1.006689341,0.992221575,0.983846659,0.996888802,1.013759982,0.994893748,0.995364624,1.000996918,1.00514536,1.012338125,0.993480497,1.048972618,0.985775694
0.989679709,1.012108037,0.986220531,1.013076501,1.004679137,0.990708362,0.995004111,1.006119946,1.017961699,0.961867275,0.994402831,0.997218226,1.003380456,0.98933175,1.004076033,1.010395846,0.992358325,0.99528118,0.943420301,1.020274015,0.992469427,1.006689341,0.991333283,0.981447033,0.996888802,1.015073142,0.994893748,0.995364624,1.000996918,1.008697111,1.012338125,0.993480497,1.05748931,0.984505365
0.989679709,1.012108037,0.986220531,1.013076501,1.004679137,0.991886374,0.995004111,1.006119946,1.019437006,0.958617723,0.994402831,0.997218226,1.002126231,0.9875264,1.004076033,1.012065922,0.992358325,0.994591449,0.93763954,1.022717785,0.990077935,1.006689341,0.991333283,0.98024722,0.996888802,1.015073142,0.994893748,0.994083589,1.002237311,1.008697111,1.012338125,0.993480497,1.066006003,0.983235035
0.989679709,1.012108037,0.985128371,1.015641252,1.0057606,0.991886374,0.995004111,1.006119946,1.019437006,0.956992947,0.994402831,0.997218226,1.002126231,0.9875264,1.004076033,1.012065922,0.992358325,0.994591449,0.931858778,1.02393967,0.988882188,1.006689341,0.990444992,0.979047407,0.996888802,1.015073142,0.992449292,0.994083589,1.002237311,1.009881028,1.012338125,0.992244825,1.074522695,0.981964706
0.988353061,1.012108037,0.985128371,1.016923627,1.0057606,0.990708362,0.995004111,1.007414824,1.019437006,0.953743396,0.994402831,0.997218226,1.002126231,0.98572105,1.004076033,1.013735998,0.992358325,0.99597091,0.923765712,1.02638344,0.986490696,1.006689341,0.990444992,0.976647781,0.996888802,1.015073142,0.992449292,0.994083589,1.002237311,1.009881028,1.011154103,0.992244825,1.083039388,0.980694376
0.988353061,1.012108037,0.985128371,1.019488378,1.0057606,0.990708362,0.995004111,1.007414824,1.019437006,0.950493844,0.994402831,0.997218226,1.002126231,0.98572105,1.004076033,1.013735998,0.990838634,0.994591449,0.916828798,1.027605325,0.985294949,1.006689341,0.990444992,0.975447968,0.996888802,1.015073142,0.992449292,0.995364624,1.003477703,1.009881028,1.011154103,0.992244825,1.092975529,0.980694376
0.988353061,1.012108037,0.984036211,1.020770753,1.006842063,0.989530349,0.995004111,1.008709702,1.020912313,0.947244293,0.994402831,0.997218226,1.002126231,0.9839157,1.004076033,1.015406074,0.990838634,0.994591449,0.907579579,1.02882721,0.982903457,1.006689341,0.9895567,0.973048342,0.996888802,1.015073142,0.992449292,0.995364624,1.003477703,1.009881028,1.011154103,0.992244825,1.101492221,0.979424047
0.988353061,1.012108037,0.984036211,1.023335504,1.006842063,0.989530349,0.995004111,1.008709702,1.020912313,0.943994741,0.994402831,0.997218226,1.002126231,0.9839157,1.004076033,1.015406074,0.990838634,0.99528118,0.899486513,1.030049095,0.981707711,1.006689341,0.990444992,0.971848529,0.996888802,1.015073142,0.991227063,0.995364624,1.004718096,1.009881028,1.009970082,0.992244825,1.110008914,0.979424047
0.987026412,1.012108037,0.984036211,1.024617879,1.006842063,0.988352337,0.993482698,1.008709702,1.020912313,0.940745189,0.994402831,0.995686401,1.002126231,0.98211035,1.004076033,1.015406074,0.990838634,0.99597091,0.889081142,1.03127098,0.979316218,1.006689341,0.990444992,0.969448903,0.996888802,1.015073142,0.990004835,0.995364624,1.005958489,1.009881028,1.009970082,0.991009153,1.117106158,0.978153717
0.987026412,1.010820368,0.984036211,1.02718263,1.007923526,0.987174325,0.995004111,1.008709702,1.019437006,0.937495638,0.994402831,0.994154575,1.002126231,0.98211035,1.004076033,1.017076149,0.990838634,0.996660641,0.878675771,1.032492865,0.978120472,1.006689341,0.9895567,0.965849464,0.996888802,1.015073142,0.990004835,0.995364624,1.005958489,1.009881028,1.009970082,0.991009153,1.12562285,0.978153717
0.985699764,1.009532699,0.982944051,1.02974738,1.007923526,0.985996312,0.995004111,1.008709702,1.020912313,0.930996535,0.994402831,0.99262275,1.003380456,0.980305,1.004076033,1.017076149,0.989318942,0.996660641,0.870582704,1.032492865,0.975728979,1.006689341,0.990444992,0.964649651,0.996888802,1.015073142,0.990004835,0.995364624,1.005958489,1.011064944,1.009970082,0.989773481,1.132720094,0.975613058
0.985699764,1.009532699,0.982944051,1.032312131,1.007923526,0.9848183,0.993482698,1.008709702,1.019437006,0.927746983,0.994402831,0.991090925,1.003380456,0.980305,1.004076033,1.017076149,0.989318942,0.997350371,0.860177333,1.03371475,0.974533233,1.006689341,0.990444992,0.962250025,0.996888802,1.016386303,0.987560379,0.995364624,1.007198882,1.011064944,1.009970082,0.989773481,1.139817337,0.975613058
0.985699764,1.009532699,0.981851891,1.032312131,1.007923526,0.9848183,0.993482698,1.008709702,1.019437006,0.922872656,0.994402831,0.988027274,1.003380456,0.980305,1.004076033,1.017076149,0.987799251,0.997350371,0.850928115,1.03371475,0.970945994,1.005522841,0.991333283,0.959850399,0.996888802,1.015073142,0.987560379,0.995364624,1.008439274,1.011064944,1.008786061,0.991009153,1.145495132,0.973072399
0.985699764,1.009532699,0.981851891,1.034876881,1.009004989,0.983640288,0.993482698,1.008709702,1.019437006,0.917998328,0.994402831,0.986495449,1.004634682,0.980305,1.004076033,1.017076149,0.987799251,0.997350371,0.839366592,1.034936635,0.969750248,1.006689341,0.991333283,0.95625096,0.996888802,1.016386303,0.986338151,0.994083589,1.008439274,1.011064944,1.00760204,0.989773481,1.151172927,0.97053174
0.985699764,1.008245029,0.981851891,1.034876881,1.010086452,0.982462275,0.991961285,1.008709702,1.017961699,0.914748777,0.994402831,0.983431799,1.004634682,0.978499651,1.004076033,1.017076149,0.98627956,0.997350371,0.828961221,1.034936635,0.964967262,1.006689341,0.992221575,0.953851334,0.996888802,1.016386303,0.985115922,0.992802553,1.008439274,1.012248861,1.006418019,0.989773481,1.155431273,0.97053174
0.985699764,1.008245029,0.981851891,1.037441632,1.010086452,0.981284263,0.991961285,1.010004579,1.017961699,0.908249673,0.994402831,0.981899973,1.007143133,0.976694301,1.004076033,1.015406074,0.98627956,0.997350371,0.816243545,1.034936635,0.96257577,1.005522841,0.992221575,0.950251895,0.996888802,1.016386303,0.985115922,0.992802553,1.009679667,1.012248861,1.005233997,0.991009153,1.15968962,0.969261411
0.984373116,1.00695736,0.981851891,1.037441632,1.010086452,0.980106251,0.988918459,1.008709702,1.016486392,0.903375346,0.994402831,0.980368148,1.007143133,0.976694301,1.004076033,1.017076149,0.984759869,0.997350371,0.803525869,1.034936635,0.958988531,1.005522841,0.993109866,0.946652456,0.996888802,1.016386303,0.983893694,0.991521518,1.01092006,1.012248861,1.005233997,0.991009153,1.163947966,0.967991081
0.984373116,1.005669691,0.982944051,1.038724007,1.010086452,0.978928238,0.987397046,1.008709702,1.016486392,0.896876243,0.994402831,0.977304498,1.008397359,0.973083601,1.004076033,1.017076149,0.983240178,0.997350371,0.789652041,1.034936635,0.954205546,1.005522841,0.993998158,0.94425283,0.996888802,1.015073142,0.982671466,0.990240482,1.012160452,1.012248861,1.005233997,0.992244825,1.166786863,0.965450422
0.984373116,1.004382022,0.982944051,1.040006383,1.010086452,0.977750226,0.987397046,1.008709702,1.016486392,0.893626691,0.99293832,0.975772673,1.009651584,0.971278251,1.004076033,1.017076149,0.981720487,0.997350371,0.775778213,1.03615852,0.94942256,1.005522841,0.994886449,0.940653391,0.996888802,1.015073142,0.981449238,0.988959447,1.012160452,1.012248861,1.005233997,0.992244825,1.169625761,0.962909763
0.984373116,1.003094352,0.982944051,1.040006383,1.010086452,0.976572214,0.985875633,1.008709702,1.016486392,0.888752364,0.991473809,0.972709022,1.01090581,0.971278251,1.004076033,1.017076149,0.980200795,0.997350371,0.760748233,1.034936635,0.944639575,1.005522841,0.994886449,0.935854139,0.996888802,1.015073142,0.98022701,0.986397376,1.014641238,1.012248861,1.00760204,0.991009153,1.17104521,0.960369104
0.983046467,1.001806683,0.981851891,1.040006383,1.010086452,0.975394201,0.982832807,1.008709702,1.015011086,0.882253261,0.990009298,0.971177197,1.012160035,0.967667551,1.004076033,1.018746225,0.978681104,0.997350371,0.746874405,1.034936635,0.93985659,1.005522841,0.995774741,0.9322547,0.996888802,1.013759982,0.977782553,0.98511634,1.014641238,1.012248861,1.008786061,0.991009153,1.17104521,0.957828445
0.983046467,1.001806683,0.981851891,1.038724007,1.013330841,0.974216189,0.979789981,1.008709702,1.016486392,0.877378933,0.988544788,0.969645372,1.013414261,0.964056851,1.004076033,1.018746225,0.978681104,0.997350371,0.731844425,1.034936635,0.933877859,1.005522841,0.996663032,0.928655261,0.996888802,1.012446821,0.976560325,0.983835304,1.015881631,1.013432778,1.009970082,0.991009153,1.17104521,0.955287786
0.981719819,0.999231345,0.981851891,1.038724007,1.014412304,0.971860164,0.979789981,1.008709702,1.013535779,0.87087983,0.987080277,0.965049896,1.015922712,0.960446151,1.005595059,1.020416301,0.975641722,0.997350371,0.71450214,1.03371475,0.926703381,1.005522841,0.995774741,0.923856009,0.99528866,1.01113366,0.974115869,0.979992198,1.017122023,1.013432778,1.009970082,0.989773481,1.17104521,0.952747127
